Kind of Pet,Pet Full Name,All Pet Everyday Names,Pet Everyday Name 1,Pet Everyday Name 2,Pet Everyday Name 3,Pet Everyday Name 4,Pet Everyday Name 5,Pet Everyday Name 6,Pet Everyday Name 7,Pet Everyday Name 8,Pet Age (Years),Deceased?,All Pet Breed(s),Pet Breed 1,Pet Breed 2,Pet Breed 3
Dog,Daisy May,Daisy,Daisy,,,,,,,,11,,Golden Retriever,Golden Retriever,,
Cat,Maria,Maria,Maria,,,,,,,,8,,Unknown,Unknown,,
Dog,Sunshine,Sunny,Sunny,,,,,,,,4,,Pyrador,Pyrador,,
Cat,Penelope,Penelope,Penelope,,,,,,,,9,,Calico Coloration,Calico Coloration,,
Lizard,Pebbles,Peb,Peb,,,,,,,,4,,Leopard Gecko,Leopard Gecko,,
Dog,Freskin,Fattima Bouffants,Fattima Bouffants,,,,,,,,13,,Labrador Retriever,Labrador Retriever,,
Dog,Philippa,Pippa,Pippa,,,,,,,,4,,American Hairless Terrier,American Hairless Terrier,,
Dog,Lillie (lilian Now That She’s Older),Lillie,Lillie,,,,,,,,5,,Boxer,Boxer,,
Cat,Callie,Callie,Callie,,,,,,,,15,,,,,
Dog,"Dr. Wolf Barker, Md Phd Dog",Wolfie,Wolfie,,,,,,,,7,,Mixed,Mixed,,
Dog,Toby,Tobias,Tobias,,,,,,,,10,,Bichon Frise,Bichon Frise,,
Cat,Mackintosh,Milo,Milo,,,,,,,,10,,Unknown,Unknown,,
Dog,Alice,Alicima Bouffants,Alicima Bouffants,,,,,,,,11,,Bichon Frise,Bichon Frise,,
Dog,Deedee,Deedle Dumpling,Deedle Dumpling,,,,,,,,10,,Bichon Frise,Bichon Frise,,
Dog,Oliver,Oliver,Oliver,,,,,,,,12,,Bichon Frise,Bichon Frise,,
Dog,Reuben,Reuben,Reuben,,,,,,,,12,,Bichon Frise,Bichon Frise,,
Dog,Mowgli,Mowgli; Mr. Tude,Mowgli,Mr. Tude,,,,,,,3,,Yorkiepoo,Yorkiepoo,,
Dog,Toby,Toby,Toby,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Gerbil,Salt,Salt,Salt,,,,,,,,2,,,,,
Gerbil,Pepper,Pepper,Pepper,,,,,,,,2,,,,,
Cat,Shaka,Shaka,Shaka,,,,,,,,9,,Siamese,Siamese,,
Cat,Zia,Zia,Zia,,,,,,,,12,,Siamese,Siamese,,
Dog,Buddy,Buddy,Buddy,,,,,,,,11,,Mixed,Mixed,,
Dog,Bella Sitka Lastname,Bell; Bella; Pretty,Bell,Bella,Pretty,,,,,,15,,Mianture American Eskimo,Mianture American Eskimo,,
Dog,Monty,Montgomery Of Fitzgerald,Montgomery Of Fitzgerald,,,,,,,,8,,Labrador Retriever,Labrador Retriever,,
Dog,Luna Lastname,Luna; Loon; Loonie; Miss Loon; Wiggles,Luna,Loon,Loonie,Miss Loon,Wiggles,,,,0.75,,Doxin,Doxin,,
Bird,Vaillante,Vaillant,Vaillant,,,,,,,,5,,,,,
Dog,Echo Last Name,Echo,Echo,,,,,,,,12,,Mianture American Eskimo,Mianture American Eskimo,,
Dog,Nuffin,Nuffin,Nuffin,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Cat,Tauriel,Tauriel,Tauriel,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Cat,Garbanzo,Bean,Bean,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Dog,Mars,Chano,Chano,,,,,,,,9,,Corgi,Corgi,,
Dog,Calhoun Richard Anderson Du Nord,Cal,Cal,,,,,,,,3.5,,Golden Retriever,Golden Retriever,,
Dog,Charlie Brown,Charlie; Charizard; Charles,Charlie,Charizard,Charles,,,,,,10,,Labrador Retriever,Labrador Retriever,,
Dog,Bixby Lucas,Bixby,Bixby,,,,,,,,1,,Labrador Retriever,Labrador Retriever,,
Cat,Luna Linetti,Luna,Luna,,,,,,,,1,,,,,
Dog,Taco,Taca Taca; Snorticus,Taca Taca,Snorticus,,,,,,,13,,French Bulldog/ Boston Terrier,French Bulldog,Boston Terrier,
Dog,Belle,Jelly Belly,Jelly Belly,,,,,,,,3,,Beagle,Beagle,,
Dog,Jimmy,Jimmy,Jimmy,,,,,,,,3,,Jack Russell Terrier,Jack Russell Terrier,,
Hamster,Wobbles,Wobbles,Wobbles,,,,,,,,0.833333333,,Syrian,Syrian,,
Cat,Buddha,Buddha,Buddha,,,,,,,,15,,Domestic Shorthair,Domestic Shorthair,,
Dog,Miles,Miles,Miles,,,,,,,,10,,Redbone Coonhound,Redbone Coonhound,,
Dog,Eleanor Rose,Elly,Elly,,,,,,,,5,,Golden Retriever,Golden Retriever,,
Cat,Charlotte May,Charlotte,Charlotte,,,,,,,,4,,Tabby Coloration,Tabby Coloration,,
Dog,Cooper Jay Nigel Winston,Cooper,Cooper,,,,,,,,8,,Yorkiepoo,Yorkiepoo,,
Dog,Buddy Augusto,Buddy,Buddy,,,,,,,,14,,Cocker Spaniel,Cocker Spaniel,,
Dog,Dash,Dash,Dash,,,,,,,,7,,Pitbull,Pitbull,,
Cat,Calvin Coolidge Cat,Cal,Cal,,,,,,,,17,,Siamese,Siamese,,
Cat,Gracie Coolidge Cat,Gracie,Gracie,,,,,,,,16,,Russian Blue,Russian Blue,,
Dog,Opie,Dope; Opie,Dope,Opie,,,,,,,11,,Golden Retriever,Golden Retriever,,
Dog,Georgia,Georgia,Georgia,,,,,,,,3,,,,,
Cat,Emile,Mealsies,Mealsies,,,,,,,,6,,Chartreux,Chartreux,,
Cat,Zoe,Zoe,Zoe,,,,,,,,3,,Unknown,Unknown,,
Cat,Malcolm,Mal,Mal,,,,,,,,3,,Tabby Coloration,Tabby Coloration,,
Dog,Dino,Dino,Dino,,,,,,,,13,deceased,Keeshound,Keeshound,,
Cat,Molly,Molly Magoo,Molly Magoo,,,,,,,,1,,Unknown,Unknown,,
Cat,Bruce Springsteen,Bruce,Bruce,,,,,,,,24,,,,,
Dog,Penny,Penny,Penny,,,,,,,,10,,Beagle/ Miniature Pinscher,Beagle,Miniature Pinscher,
Cat,Raven,Raven,Raven,,,,,,,,6,,Domestic Shorthair,Domestic Shorthair,,
Cat,Clarabelle,Clarabelle,Clarabelle,,,,,,,,7,,Domestic Shorthair,Domestic Shorthair,,
Dog,Alex’s Fiesty Girl Bailey Balogh,Bailey,Bailey,,,,,,,,10,,Golden Retriever,Golden Retriever,,
Dog,Rey,Reymundo,Reymundo,,,,,,,,2.5,,Jack Russell Terrier/ Chihuahua,Jack Russell Terrier,Chihuahua,
Dog,Uwe,Uwe,Uwe,,,,,,,,4,,Golden Boy,Golden Boy,,
Dog,Millie Betty,Mill,Mill,,,,,,,,1.5,,Dalmatian,Dalmatian,,
Dog,Henry,Henny,Henny,,,,,,,,1,,Dalmatian,Dalmatian,,
Dog,Daisy May,Daisy,Daisy,,,,,,,,13,,Mixed,Mixed,,
Dog,Chamomile June,Cammie,Cammie,,,,,,,,9,,Cocker Spaniel,Cocker Spaniel,,
Dog,Chapman,Chapman,Chapman,,,,,,,,15,,Labrador Retriever,Labrador Retriever,,
Dog,Tucker,Tucker,Tucker,,,,,,,,0.75,,Miniature Australian Shepherd,Miniature Australian Shepherd,,
Dog,Chappelle,Mutt,Mutt,,,,,,,,7.75,,Dachshund/ Tibetan Spaniel,Dachshund,Tibetan Spaniel,
Cat,Wilhelmina Rae,Willa,Willa,,,,,,,,5,,,,,
Cat,Frances Louise,Frankie,Frankie,,,,,,,,6,,,,,
Cat,Victoria Susan,Tori,Tori,,,,,,,,6,,,,,
Cat,Ossana Mae,Ossie,Ossie,,,,,,,,5,,,,,
Dog,Bella,Bella,Bella,,,,,,,,11,,Greater Swiss Mountain Dog,Greater Swiss Mountain Dog,,
Dog,Toby Wan Kenobi,Toby,Toby,,,,,,,,1,,Golden Retriever,Golden Retriever,,
Dog,Daisy,Daisy,Daisy,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Dog,Beaucoup Du Chien,Beau,Beau,,,,,,,,,deceased,Newfoundland,Newfoundland,,
Dog,Pumpkin,Pumpkin,Pumpkin,,,,,,,,,deceased,Labrador Retriever,Labrador Retriever,,
Dog,Poquit,Poquit,Poquit,,,,,,,,,deceased,Labrador Retriever,Labrador Retriever,,
Cat,Orange Laurie,Orie,Orie,,,,,,,,,deceased,,,,
Cat,Sunset,Sunny,Sunny,,,,,,,,,deceased,,,,
Dog,Rosie,Rosie,Rosie,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Cat,Matilda,Matilda,Matilda,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Dog,Murphy,Murphy,Murphy,,,,,,,,10,,Yorkshire Terrier,Yorkshire Terrier,,
Dog,Giacomo Science,Giacomo,Giacomo,,,,,,,,6,,Bernese Mountain Dog,Bernese Mountain Dog,,
Dog,"Zuul, Minion Of Gozer",Zuul,Zuul,,,,,,,,5,,Pitbull/ Boxer,Pitbull,Boxer,
Dog,Trogdor Jealous,Dora,Dora,,,,,,,,14,,Mixed,Mixed,,
Cat,Idalou,Lou,Lou,,,,,,,,7,,Domestic Shorthair,Domestic Shorthair,,
Dog,Professor Tuxedo,Tux,Tux,,,,,,,,1,,Bernese Mountain Dog,Bernese Mountain Dog,,
Dog,Bodie,Bodie,Bodie,,,,,,,,8,,Golden Retriever,Golden Retriever,,
Dog,Zoey,Zoey,Zoey,,,,,,,,5.5,,Labradoodle,Labradoodle,,
Cat,Eddy Jefferson,Eddy,Eddy,,,,,,,,4,,,,,
Dog,Joel Carlos,Joel,Joel,,,,,,,,3,,Beagador,Beagador,,
Dog,Lola,Lola,Lola,,,,,,,,1,,English Cocker Spaniel,English Cocker Spaniel,,
Cat,Margot Mae,Margot,Margot,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Dog,Rufus,Rufus,Rufus,,,,,,,,15,,Cairn Terrier,Cairn Terrier,,
Dog,Sadie,Bubba,Bubba,,,,,,,,12,,Golden,Golden,,
Cat,Chester,Kiddo,Kiddo,,,,,,,,1,,,,,
Dog,Zoey Deschanel,Zo,Zo,,,,,,,,12,,Bichon Frise,Bichon Frise,,
Dog,Cooper,Coop,Coop,,,,,,,,6,,Golden,Golden,,
Dog,Captain Goose,Goose,Goose,,,,,,,,1,,,,,
Dog,Mr Doctor Professor Constable Detective Brick,Brick,Brick,,,,,,,,8,,British Bulldog,British Bulldog,,
Dog,Ellie Sattler,El,El,,,,,,,,1,,Pibble,Pibble,,
Cat,Lily,Little Shit,Little Shit,,,,,,,,4,,,,,
Dog,Juke,Juke,Juke,,,,,,,,4,,Dachshund,Dachshund,,
Dog,Blue,Blue,Blue,,,,,,,,0.5,,Labrador Retriever,Labrador Retriever,,
Dog,Kiefer Bartholomew,Kief,Kief,,,,,,,,9,,Belgian Shepherd,Belgian Shepherd,,
Dog,Jackson,Jax,Jax,,,,,,,,5,,Labradoodle,Labradoodle,,
Cat,Marzipan,Pan,Pan,,,,,,,,2,,,,,
Dog,Zeta Bear,Bear,Bear,,,,,,,,6,,German Shepherd,German Shepherd,,
Cat,Sunny,Sun Bun; Just Bun,Sun Bun,Just Bun,,,,,,,0.166666667,,,,,
Hedgehog,Professor Minerva Mcgonaquill,Minnie,Minnie,,,,,,,,2.5,,African Pygmy,African Pygmy,,
Dog,Minnie,Minniepin,Minniepin,,,,,,,,2,,Mixed,Mixed,,
Fish,Fsh,Fsh,Fsh,,,,,,,,10,,Mexican Blind Cave Tetra,Mexican Blind Cave Tetra,,
Dog,Dixie,Dixie,Dixie,,,,,,,,15,,Shepherd,Shepherd,,
Dog,Rosa Barks,Rosie,Rosie,,,,,,,,11,,Shih Tzu,Shih Tzu,,
Dog,Charlie,Charlie,Charlie,,,,,,,,0.192307692,,Cavapoo,Cavapoo,,
Dog,Jack Dog,Jack,Jack,,,,,,,,16,,Mixed,Mixed,,
Cat,Minerva,Minny,Minny,,,,,,,,6,,,,,
Dog,Timon,Timon,Timon,,,,,,,,3,,Mixed,Mixed,,
Dog,Leila Fowler-martinez,Leila; Pinche Leila,Leila,Pinche Leila,,,,,,,7,,,,,
Dog,Tubu,Tubu,Tubu,,,,,,,,11,,Chihuahua,Chihuahua,,
Cat,Venus,Kitty,Kitty,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Dog,Goodness Gracious,Gracy,Gracy,,,,,,,,12,,Shih Tzu,Shih Tzu,,
Dog,Monkey,Monkey,Monkey,,,,,,,,11,,Australian Shepherd/ Rottweiler,Australian Shepherd,Rottweiler,
Cat,Jynx,Jynx,Jynx,,,,,,,,4,,Domestic Mediumhair,Domestic Mediumhair,,
Dog,Rosie,Rosie Posie,Rosie Posie,,,,,,,,,deceased,Golden Retriever,Golden Retriever,,
Cat,Wendy,Wendy,Wendy,,,,,,,,3,,Domestic Shorthair,Domestic Shorthair,,
Hamster,Katya,Chicken,Chicken,,,,,,,,2,,Russian Dwarf,Russian Dwarf,,
Dog,Scirocco Augustus,Rocco; Crocco,Rocco,Crocco,,,,,,,5,,Treeing Walker Coonhound/  Chinese Sharpei,Treeing Walker Coonhound,Chinese Sharpei,
Dog,Heavy Duty Puppy,Duty,Duty,,,,,,,,4,,Sheltie,Sheltie,,
Rabbit,Arthur,Arturo,Arturo,,,,,,,,5,,English Lop,English Lop,,
Cat,Jack,Kitty-boy,Kitty-boy,,,,,,,,6,,Tabby Coloration,Tabby Coloration,,
Dog,Siena Rosa,Siena,Siena,,,,,,,,12,,Golden Retriever,Golden Retriever,,
Dog,Buttercup Maplesde,Butternut,Butternut,,,,,,,,2.5,,,,,
Dog,Zuez Maplesden,Zuzy,Zuzy,,,,,,,,2.5,,,,,
Dog,Bella Maplesden,Bella,Bella,,,,,,,,2,,Bali Dog,Bali Dog,,
Cat,Hercules Maplesden,Hercules,Hercules,,,,,,,,2,,Tabby Coloration,Tabby Coloration,,
Dog,Ghia Lynn,Ghia; Geeg,Ghia,Geeg,,,,,,,1,,Border Collie/  Chinese Sharpei,Border Collie,Chinese Sharpei,
Dog,Delilah,Lilah,Lilah,,,,,,,,7,,Beagle,Beagle,,
Cat,Bailey’s Irish Cream,Bailey,Bailey,,,,,,,,13,,Siamese,Siamese,,
Dog,Treacle,Treacle,Treacle,,,,,,,,10,,Border Collie,Border Collie,,
Dog,Sam,Sam,Sam,,,,,,,,11,,Labrador Retriever,Labrador Retriever,,
Dog,Tyson,Tysbert; T Mct; Mucki; Muckelbert; Muckmuck; Maggey,Tysbert,T Mct,Mucki,Muckelbert,Muckmuck,Maggey,,,14,,Rottweiler/ German Shepherd,Rottweiler,German Shepherd,
Cat,Madison Square Garden,Square,Square,,,,,,,,2,,,,,
Cat,Garfield,Cooter,Cooter,,,,,,,,8,,Tabby Coloration,Tabby Coloration,,
Dog,Parker,Parker,Parker,,,,,,,,11,,Golden Doodle,Golden Doodle,,
Dog,Captain Avro Clarence,Avro,Avro,,,,,,,,6,,Schnauzer,Schnauzer,,
Dog,Carlene,Weentz,Weentz,,,,,,,,4,,Mixed,Mixed,,
Dog,Linda,Linda,Linda,,,,,,,,10,,West Highland White Terrier,West Highland White Terrier,,
Cat,Stellabella,Stella,Stella,,,,,,,,7,,Domestic Shorthair,Domestic Shorthair,,
Dog,Toby Wooferton,Toby,Toby,,,,,,,,18,,Mixed,Mixed,,
Dog,Sacha,Fjollehoved,Fjollehoved,,,,,,,,13,,Labrador Retriever,Labrador Retriever,,
Cat,Ponce De Leon,Ponce,Ponce,,,,,,,,7,,Domestic Shorthair,Domestic Shorthair,,
Dog,Snickers,Snicks,Snicks,,,,,,,,14,,Labradoodle,Labradoodle,,
Cat,Echo,Echo,Echo,,,,,,,,12,,,,,
Cat,Tiga,Tiga,Tiga,,,,,,,,7,,Domestic Shorthair,Domestic Shorthair,,
Dog,Sherlock Bones,Sherlock,Sherlock,,,,,,,,4,,Pitbull,Pitbull,,
Dog,Irene Adler,Addie,Addie,,,,,,,,8,,Bulldog,Bulldog,,
Cat,Bloo,Bloo,Bloo,,,,,,,,11,,,,,
Dog,Wallace,Wally,Wally,,,,,,,,2,,Labradoodle,Labradoodle,,
Dog,Dude,Handsome,Handsome,,,,,,,,2.5,,Labrador Retriever,Labrador Retriever,,
Cat,Mitten,Tuna,Tuna,,,,,,,,13,,,,,
Dog,Bailey,Bailey,Bailey,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Dog,Willow,Sweetie,Sweetie,,,,,,,,6,,Labrador Retriever,Labrador Retriever,,
Dog,Philistine Smoosh,Bill,Bill,,,,,,,,14,,Jack Russell Terrier,Jack Russell Terrier,,
Cat,Kitty Cat,Kc,Kc,,,,,,,,13,,,,,
Cat,Elvis,Tubby,Tubby,,,,,,,,12,,Siamese,Siamese,,
Dog,Henry Nacho,Henny,Henny,,,,,,,,8,,Golden Retriever,Golden Retriever,,
Dog,Maximilian Kolby,Maxy,Maxy,,,,,,,,16,,Golden Retriever,Golden Retriever,,
Dog,Argos,Argos,Argos,,,,,,,,6,,Mixed,Mixed,,
Bird,Buttercup,Butter,Butter,,,,,,,,,,,,,
Dog,Madeline Grace,Ma Ma,Ma Ma,,,,,,,,15,,Golden Retriever,Golden Retriever,,
Dog,Elvis,Elvis,Elvis,,,,,,,,11,,Cockapoo,Cockapoo,,
Dog,Coconut Butter,Coco,Coco,,,,,,,,5,,Mixed,Mixed,,
Dog,Lucy-fur,Lucy,Lucy,,,,,,,,12,,Golden Retriever,Golden Retriever,,
Dog,Sophie Grace,Soph,Soph,,,,,,,,13,,Brindle Black,Brindle Black,,
Dog,Prince,Prince,Prince,,,,,,,,14,,Mixed,Mixed,,
Dog,Jackson Buttsickle,Jacks,Jacks,,,,,,,,4,,Mixed,Mixed,,
Dog,Lassie,Lass Lass,Lass Lass,,,,,,,,14,,,,,
Dog,Charles Xavier Ii,Charlie,Charlie,,,,,,,,4,,Great Pyr,Great Pyr,,
Cat,Gingersnapz C. Cat,Gingersnapz,Gingersnapz,,,,,,,,7,,Domestic Shorthair,Domestic Shorthair,,
Dog,Caroline,Caroline,Caroline,,,,,,,,5,,Mixed,Mixed,,
Cat,Shadow,Shadow,Shadow,,,,,,,,11,,,,,
Cat,Murray 2,Murray,Murray,,,,,,,,7,,,,,
Dog,Beau,Goomby; Mr. Beauregard,Goomby,Mr. Beauregard,,,,,,,4,,Golden Retriever,Golden Retriever,,
Dog,Lindon,Lindy Loo,Lindy Loo,,,,,,,,10,,Pitbull/ Labrador Retriever,Pitbull,Labrador Retriever,
Cat,Marilyn,Chirp; Pumpkin Pie; Meow Meow,Chirp,Pumpkin Pie,Meow Meow,,,,,,5,,,,,
Dog,Tedward,Teddy,Teddy,,,,,,,,4,,Shih Tzu,Shih Tzu,,
Dog,Zuzu,Zu,Zu,,,,,,,,4,,Shih Tzu/ Bichon,Shih Tzu,Bichon,
Dog,Marcus Brutus,Brutus,Brutus,,,,,,,,4,,Boxer,Boxer,,
Cat,Charlie Chaplin,Charlie,Charlie,,,,,,,,1,,,,,
Cat,Molly Tigerlily,Molly,Molly,,,,,,,,1,,,,,
Cat,Britannia,Brit,Brit,,,,,,,,10,,,,,
Dog,Brownie Leigh,Brownie,Brownie,,,,,,,,3,,Golden Shepherd,Golden Shepherd,,
Dog,Jersey Girl,Jersey,Jersey,,,,,,,,11,,Husky/ Malamute,Husky,Malamute,
Dog,Stella,Stells,Stells,,,,,,,,10,,Golden Doodle,Golden Doodle,,
Dog,Lizzie,Lizzie Pie,Lizzie Pie,,,,,,,,6,,Husky,Husky,,
Cat,Marby,Beanie Baby,Beanie Baby,,,,,,,,14,,American Shorthair,American Shorthair,,
Dog,Roxy,Roxy Socks,Roxy Socks,,,,,,,,1,,Mixed,Mixed,,
Dog,Coco Murfree,Coco,Coco,,,,,,,,9,,Border Collie,Border Collie,,
Dog,Ozzy,Ozlet,Ozlet,,,,,,,,1,,Miniature Australian Shepherd/ Cockapoo,Miniature Australian Shepherd,Cockapoo,
Dog,Winston Pigaloo,Winston; Lewis,Winston,Lewis,,,,,,,6,,Pug,Pug,,
Dog,Noodle,Noodle; Weenie,Noodle,Weenie,,,,,,,13,,Dachshund,Dachshund,,
Dog,Phantom,Phantom,Phantom,,,,,,,,5,,Staffordshire Bull Terrier,Staffordshire Bull Terrier,,
Dog,Ellen Park,Ellen,Ellen,,,,,,,,3,,Gr,Gr,,
Cat,Meredith,Mer,Mer,,,,,,,,1,,Domestic Shorthair,Domestic Shorthair,,
Cat,Brennan Zachary,Punkin Butt,Punkin Butt,,,,,,,,8,,Domestic Shorthair,Domestic Shorthair,,
Fish,Fishy,Fishy,Fishy,,,,,,,,18,,,,,
Dog,Spud,Schmoops,Schmoops,,,,,,,,1.5,,Pembroke Welsh Corgi,Pembroke Welsh Corgi,,
Dog,Fn 2187,Finn,Finn,,,,,,,,1.5,,Golden Doodle,Golden Doodle,,
Cat,Frank En Stein,Frank,Frank,,,,,,,,8,,Maine Coon,Maine Coon,,
Dog,Pisco,Pisco,Pisco,,,,,,,,5,,German Wirehaired Pointer,German Wirehaired Pointer,,
Dog,Sadie,Sadie,Sadie,,,,,,,,3,,Gsd,Gsd,,
Dog,Lola,Loli Ravioli,Loli Ravioli,,,,,,,,0.75,,Golden Retriever,Golden Retriever,,
Dog,Addie Heart,Addie,Addie,,,,,,,,8,,Labrador Retriever/ Chow Chow,Labrador Retriever,Chow Chow,
Dog,Ernie,Ernburn; Erndog; Ernieworm,Ernburn,Erndog,Ernieworm,,,,,,1,,,,,
Chinchilla,Milo Chicken Nugget,Milo,Milo,,,,,,,,0.5,,,,,
Cat,Melon,Mel,Mel,,,,,,,,3,,,,,
Dog,Semaj,Sammich; Dumbledork,Sammich,Dumbledork,,,,,,,4,,Shih Tzu,Shih Tzu,,
Dog,Maya,Little Miss Maya; Diva,Little Miss Maya,Diva,,,,,,,8,,Shih Tzu,Shih Tzu,,
Dog,Bijou,Bijou,Bijou,,,,,,,,12,,Jack Russell Terrier/ Toy Poodle,Jack Russell Terrier,Toy Poodle,
Dog,Pesto,Pesto,Pesto,,,,,,,,0.75,,Beagle,Beagle,,
Dog,Maggie,Magz,Magz,,,,,,,,,,Eskimo,Eskimo,,
Cat,Doctor Snuggles Von Fluffybottom,Doc,Doc,,,,,,,,6,,,,,
Dog,Toby,Toby,Toby,,,,,,,,1,,Golden Retriever,Golden Retriever,,
Dog,Jacob Marley,Jake,Jake,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Cat,Dixie,Potato,Potato,,,,,,,,11,,,,,
Dog,Cujo,Bubby,Bubby,,,,,,,,11,,Cocker Spaniel,Cocker Spaniel,,
Cat,Finn,Finnard,Finnard,,,,,,,,9,,Domestic Longhair,Domestic Longhair,,
Dog,Maizie,Maizie,Maizie,,,,,,,,0.333333333,,Miniature Schnauzer,Miniature Schnauzer,,
Dog,Bruce D4,Bruce,Bruce,,,,,,,,12,,Dachshund,Dachshund,,
Dog,Jackie Kate,Jackie,Jackie,,,,,,,,5,,Labrador Retriever/ Beagle,Labrador Retriever,Beagle,
Dog,Daisy Bear,Daisy; Bear,Daisy,Bear,,,,,,,2.5,,German Shepherd,German Shepherd,,
Lizard,Donut,Donut,Donut,,,,,,,,5,,Crested Gecko,Crested Gecko,,
Fish,Whiskers Goldie-the-goldfish Sweetie,Whiskies,Whiskies,,,,,,,,2,,Betta,Betta,,
Dog,Tinker Stinker,Stinks,Stinks,,,,,,,,2.5,,German Shepherd,German Shepherd,,
Cat,Vinnie,Huggiebear Biden,Huggiebear Biden,,,,,,,,4,,,,,
Cat,Watson,Dr. Watson,Dr. Watson,,,,,,,,8.5,,,,,
Cat,Crick,Dr. Crick,Dr. Crick,,,,,,,,8.5,,,,,
Dog,Mile High Ice Storm,Miles,Miles,,,,,,,,7,,Golden Retriever,Golden Retriever,,
Dog,Breezy Bear,Breezy,Breezy,,,,,,,,1,,Golden Retriever,Golden Retriever,,
Dog,Nara,Gorda,Gorda,,,,,,,,3,,Australian Cattle Dog,Australian Cattle Dog,,
Dog,"Wyatt Daniel, The Wild Corgo",Wyatt,Wyatt,,,,,,,,2,,Pembroke Welsh Corgi,Pembroke Welsh Corgi,,
Dog,,Petra,Petra,,,,,,,,,,Golden Retriever,Golden Retriever,,
Fish,Waffle,Waffle,Waffle,,,,,,,,2,,Betta,Betta,,
Dog,Rosie,Rosie,Rosie,,,,,,,,10,,Treeing Walker Coonhound,Treeing Walker Coonhound,,
Dog,Lilly,Lilly,Lilly,,,,,,,,10,,Mixed,Mixed,,
Dog,Charles,Charles,Charles,,,,,,,,12,,Miniature Schnauzer/ Poodle,Miniature Schnauzer,Poodle,
Dog,Pippa,Pip,Pip,,,,,,,,1.1,,Golden Doodle,Golden Doodle,,
Dog,Oliver,Ollie,Ollie,,,,,,,,7,,Jack Russell Terrier,Jack Russell Terrier,,
Dog,Kiku,Kiku,Kiku,,,,,,,,3,,Mixed,Mixed,,
Dog,Brandy,Brenda,Brenda,,,,,,,,10,,Havanese,Havanese,,
Dog,Bobby,Bobkin,Bobkin,,,,,,,,8,,Shih Tzu,Shih Tzu,,
Dog,Emma,Emma,Emma,,,,,,,,12,,Shih Tzu/ Poodle,Shih Tzu,Poodle,
Dog,Bessy,Bess,Bess,,,,,,,,10,,Labrador Retriever,Labrador Retriever,,
Cat,Romanovski,Romi,Romi,,,,,,,,5,,Domestic Shorthair,Domestic Shorthair,,
Cat,Fifi La Pou,Fifi,Fifi,,,,,,,,2,,Domestic Longhair,Domestic Longhair,,
Cat,Georgie Porgie,Georgie; Saucy,Georgie,Saucy,,,,,,,1,,Domestic Shorthair,Domestic Shorthair,,
Dog,Dakota,Woobis; Woobie,Woobis,Woobie,,,,,,,13,,Mixed,Mixed,,
Dog,Altrichter,Cooper,Cooper,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Dog,Tucker,Tuck,Tuck,,,,,,,,7,,Golden Retriever,Golden Retriever,,
Cat,Milo,Milo,Milo,,,,,,,,13,,Tabby Coloration,Tabby Coloration,,
Fish,Pepperwood,Pepperwood,Pepperwood,,,,,,,,1,,Betta,Betta,,
Cat,Jameson Chewbacca,Jamie,Jamie,,,,,,,,15,,American Shorthair,American Shorthair,,
Dog,Penny Bellew,Penny,Penny,,,,,,,,6,,Labrador Retriever,Labrador Retriever,,
Cat,Buddy,Buddy,Buddy,,,,,,,,2,,,,,
Cat,Cat Jenkins,Cat,Cat,,,,,,,,2,,,,,
Cat,Crouton,Crouton,Crouton,,,,,,,,3,,,,,
Dog,Morena,Morena,Morena,,,,,,,,2,,Corgi,Corgi,,
Cat,Samus Aran,Samus,Samus,,,,,,,,14,,Tabby Coloration,Tabby Coloration,,
Dog,Brownie,Bub,Bub,,,,,,,,13,,Maltipoo,Maltipoo,,
Dog,Mose Schrute,Mose,Mose,,,,,,,,2,,German Shepherd,German Shepherd,,
Dog,Rocky,Rocky,Rocky,,,,,,,,6,,Corgidor,Corgidor,,
Cat,Rosalind Franklin,Rosie,Rosie,,,,,,,,1,,,,,
Cat,Harley Quinn,Baby Kitty,Baby Kitty,,,,,,,,5,,,,,
Fish,Sushi,Sushi,Sushi,,,,,,,,2,,Betta,Betta,,
Cat,Mister Beans,Mister Beans; Beans; Beansy Boi,Mister Beans,Beans,Beansy Boi,,,,,,10,,Domestic Shorthair,Domestic Shorthair,,
Fish,Lord Baphomet: Destroyer Of Worlds,Baphomet,Baphomet,,,,,,,,,,,,,
Dog,Tyler John (had To Give Him A Middle Name For When He Was In Trouble),Ty,Ty,,,,,,,,12,,Rhodesian Ridgeback,Rhodesian Ridgeback,,
Cat,Adanac,Chunky,Chunky,,,,,,,,2,,American Shorthair,American Shorthair,,
Cat,Callister,Callibean,Callibean,,,,,,,,2,,American Shorthair,American Shorthair,,
